"Date.Time","Year","Month","Day","Time","Temp"
"2003-01-18 08:00",2003,1,18,"08:00",-12.8
"2003-01-18 09:00",2003,1,18,"09:00",-11.7
"2003-01-18 10:00",2003,1,18,"10:00",-9.7
"2003-01-18 11:00",2003,1,18,"11:00",-7.6
"2003-01-18 12:00",2003,1,18,"12:00",-6.6
"2003-01-18 13:00",2003,1,18,"13:00",-5.8
"2003-01-18 14:00",2003,1,18,"14:00",-5.7
"2003-01-18 15:00",2003,1,18,"15:00",-6.1
"2003-01-18 16:00",2003,1,18,"16:00",-6.7
"2003-01-18 17:00",2003,1,18,"17:00",-7.1
"2003-01-18 18:00",2003,1,18,"18:00",-7.1
"2003-01-18 19:00",2003,1,18,"19:00",-6.8
"2003-01-18 20:00",2003,1,18,"20:00",-7.1
"2003-01-18 21:00",2003,1,18,"21:00",-7.6
"2003-01-18 22:00",2003,1,18,"22:00",-8.5
"2003-01-18 23:00",2003,1,18,"23:00",-8.9
"2003-01-19 00:00",2003,1,19,"00:00",-9.6
"2003-01-19 01:00",2003,1,19,"01:00",-9.8
"2003-01-19 02:00",2003,1,19,"02:00",-10
"2003-01-19 03:00",2003,1,19,"03:00",-10.2
"2003-01-19 04:00",2003,1,19,"04:00",-10
"2003-01-19 05:00",2003,1,19,"05:00",-10.2
"2003-01-19 06:00",2003,1,19,"06:00",-10.5
"2003-01-19 07:00",2003,1,19,"07:00",-11.2
"2003-01-19 08:00",2003,1,19,"08:00",-10.8
"2003-01-19 09:00",2003,1,19,"09:00",-9.5
"2003-01-19 10:00",2003,1,19,"10:00",-8.5
"2003-01-19 11:00",2003,1,19,"11:00",-7.5
"2003-01-19 12:00",2003,1,19,"12:00",-6.9
"2003-01-19 13:00",2003,1,19,"13:00",-7.1
"2003-01-19 14:00",2003,1,19,"14:00",-7.1
"2003-01-19 15:00",2003,1,19,"15:00",-6.5
"2003-01-19 16:00",2003,1,19,"16:00",-6.7
"2003-01-19 17:00",2003,1,19,"17:00",-7.4
"2003-01-19 18:00",2003,1,19,"18:00",-8
"2003-01-19 19:00",2003,1,19,"19:00",-8.1
"2003-01-19 20:00",2003,1,19,"20:00",-8.8
"2003-01-19 21:00",2003,1,19,"21:00",-8.8
"2003-01-19 22:00",2003,1,19,"22:00",-8.5
"2003-01-19 23:00",2003,1,19,"23:00",-8.7
"2003-01-20 00:00",2003,1,20,"00:00",-8.7
"2003-01-20 01:00",2003,1,20,"01:00",-8.7
"2003-01-20 02:00",2003,1,20,"02:00",-9.1
"2003-01-20 03:00",2003,1,20,"03:00",-9
"2003-01-20 04:00",2003,1,20,"04:00",-9.5
"2003-01-20 05:00",2003,1,20,"05:00",-9.9
"2003-01-20 06:00",2003,1,20,"06:00",-9.8
"2003-01-20 07:00",2003,1,20,"07:00",-10.5
"2003-01-20 08:00",2003,1,20,"08:00",-10.9
"2003-01-20 09:00",2003,1,20,"09:00",-10.7
"2003-01-20 10:00",2003,1,20,"10:00",-10.4
"2003-01-20 11:00",2003,1,20,"11:00",-10
"2003-01-20 12:00",2003,1,20,"12:00",-9.7
"2003-01-20 13:00",2003,1,20,"13:00",-9.7
"2003-01-20 14:00",2003,1,20,"14:00",-9.7
"2003-01-20 15:00",2003,1,20,"15:00",-9.5
"2003-01-20 16:00",2003,1,20,"16:00",-10.1
"2003-01-20 17:00",2003,1,20,"17:00",-11
"2003-01-20 18:00",2003,1,20,"18:00",-11.9
"2003-01-20 19:00",2003,1,20,"19:00",-12.2
"2003-01-20 20:00",2003,1,20,"20:00",-13.5
"2003-01-20 21:00",2003,1,20,"21:00",-13.2
"2003-01-20 22:00",2003,1,20,"22:00",-12.5
"2003-01-20 23:00",2003,1,20,"23:00",-12.3
